country,year,gdp_pcap (US dollars)
GAB,2017,6921.73373135624
GAB,2018,7624.277523377101
GAB,2019,7441.178647228097
GAB,2020,6605.803460779041
GAB,2021,8181.409141343981
GAB,2022,8409.207414522787
GAB,2023,8071.39777400455
GAB,2024,8218.763070618485
GBR,2012,42490.146546352065
GBR,2013,43419.03525989323
GBR,2014,47426.6209829995
GBR,2015,44983.88552293405
GBR,2016,40988.10442330255
GBR,2017,40629.234034734545
GBR,2018,43315.48745013178
GBR,2019,42794.00226482881
GBR,2020,40404.806223895066
GBR,2021,46926.475736105014
GBR,2022,46062.99140796976
GBR,2023,49200.81015261457
GBR,2024,52636.78659438527
GHA,2012,1543.7752423576376
GHA,2013,2294.795846937434
GHA,2014,1949.908329238455
GHA,2015,1722.7728283360616
GHA,2016,1912.4799133995061
GHA,2017,2012.2866264126542
GHA,2018,2195.3216601637732
GHA,2019,2186.6582268261286
GHA,2020,2195.4548165998676
GHA,2021,2445.18662529344
GHA,2022,2229.89122647803
GHA,2023,2383.9041048341815
GHA,2024,2405.7946637808286
GIN,2012,699.3533772121965
GIN,2013,748.4550208247343
GIN,2014,765.1469993892789
GIN,2015,747.3569667594476
GIN,2016,711.9965097823158
GIN,2017,833.598621691121
GIN,2018,933.273615633705
GIN,2019,1031.341464807319
GIN,2020,1053.660976964146
GIN,2021,1244.9655047791368
GIN,2022,1416.5961201176417
GIN,2023,1555.4937580686064
GIN,2024,1717.0231812077927
GMB,2012,692.579361628102
GMB,2013,653.8627132727431
GMB,2014,568.0045355886399
GMB,2015,619.5363642964605
GMB,2016,650.0565013236113
GMB,2017,642.5226412963307
GMB,2018,696.2198069606148
GMB,2019,738.1867519874828
GMB,2020,720.3351433521331
GMB,2021,781.8909251695309
GMB,2022,836.2448755826309
GMB,2023,888.1574074419019
GMB,2024,908.5256741509647
GNB,2012,635.4616533038806
GNB,2013,654.304534409417
GNB,2014,652.0225010294494
GNB,2015,645.0668372070388
GNB,2016,679.6653866268176
GNB,2017,783.123186602022
GNB,2018,808.531613218504
GNB,2019,807.4255248728346
GNB,2020,836.2673142373203
GNB,2021,912.4841046928469
GNB,2022,873.4378618754282
GNB,2023,964.9275542189088
GNB,2024,962.983627901892
GNQ,2012,17308.57239245747
GNQ,2013,16304.071319641815
GNQ,2014,15548.662465661924
GNQ,2015,9068.910032386446
GNQ,2016,7453.197979485167
GNQ,2017,7809.104656554882
GNQ,2018,8102.470848340313
GNQ,2019,6804.149230738878
GNQ,2020,5764.055029129468
GNQ,2021,6945.630697945393
GNQ,2022,7589.299649093814
GNQ,2023,6677.793435386001
GNQ,2024,6745.40013244916
GRC,2012,21624.346052551045
GRC,2013,21573.344976280474
GRC,2014,21474.725712389194
GRC,2015,17980.72982381374
GRC,2016,17919.24263770477
GRC,2017,18631.99301292935
GRC,2018,19873.401523877146
GRC,2019,19335.360200296866
GRC,2020,17886.733165236048
GRC,2021,20654.7001960815
GRC,2022,20971.834925828334
GRC,2023,23400.727881769137
GRC,2024,24752.106840168104
HRV,2012,13508.68369896929
HRV,2013,14136.396766950451
HRV,2014,14187.969453149337
HRV,2015,12285.303258210532
HRV,2016,12821.173814030428
HRV,2017,13902.631048542222
HRV,2018,15460.418329584349
HRV,2019,15563.816739719914
HRV,2020,14808.462018881932
HRV,2021,17789.930473672237
HRV,2022,18466.095547264755
HRV,2023,21865.456283864052
HRV,2024,23931.452838274574
HUN,2012,12950.159448814284
HUN,2013,13739.462015140127
HUN,2014,14352.501883173978
HUN,2015,12782.941257797267
HUN,2016,13215.860527778877
HUN,2017,14736.166815725837
HUN,2018,16605.05705118868
HUN,2019,17012.859855319868
HUN,2020,16386.93088212582
HUN,2021,19030.62813032901
HUN,2022,18483.636686703485
HUN,2023,22312.17902897625
HUN,2024,23310.75127339573
IDN,2012,3632.2725403033064
IDN,2013,3566.6028450607755
IDN,2014,3441.068084640084
IDN,2015,3288.222697255384
IDN,2016,3521.469434575738
IDN,2017,3798.8832617452576
IDN,2018,3860.9535309072558
IDN,2019,4106.948561603577
