country,year,mean_light,gdp_pcap (US dollars),population,land_area,urban_pop_rate
SWE,2014,0.1191661804914474,59583.71400016732,9696110.0,407339.7,86.247
ARE,2014,1.5627954006195068,51381.40699017464,8059440.0,71020.0,85.375
BEL,2014,2.3664584159851074,47995.77869613394,11209057.0,30333.0,97.833
ALB,2014,0.2996155023574829,4602.230514432285,2889104.0,27400.0,56.423
TUR,2014,0.5161961317062378,12165.22013503798,77181884.0,769630.0,73.077
ESP,2014,0.2041538953781128,29707.76550946701,46460733.0,500210.0,79.366
ARM,2014,0.0746805071830749,3852.118006103845,3013800.0,28470.0,63.112
LBY,2014,0.095467209815979,8926.420745914742,6427252.0,1759540.0,79.009
TUN,2014,0.253015786409378,4458.978954645474,11274288.0,155360.0,67.772
ROU,2014,0.3149475753307342,10031.771075540391,19908979.0,230080.0,53.9
HUN,2014,0.4132976830005646,14352.501883173978,9833038.0,91260.0,70.227
POL,2014,0.843004584312439,14262.284191411594,38011735.0,306190.0,60.403
IRL,2014,0.3589130043983459,57278.25909111072,4657740.0,68890.0,62.34
GRC,2014,0.2252677232027053,21474.725712389198,10892413.0,128900.0,77.702
ZMB,2014,0.012257432565093,1707.485731366938,15895315.0,743390.0,41.382
SLE,2014,0.0055952854454517,1117.758646572104,6876385.0,72180.0,40.432
GIN,2014,0.0037692147307097,765.1469993892789,11472924.0,245720.0,34.836
LBR,2014,0.002259710105136,706.7144900645072,4564293.0,96320.0,49.397
CAF,2014,0.0001555738417664,409.8504859646996,4623182.0,622980.0,39.959
SDN,2014,0.0119043635204434,1275.43835449219,38823318.0,1868000.0,33.689
DJI,2014,0.0316452458500862,2214.620841424321,1002717.0,23180.0,77.314
ERI,2014,0.0012292303144931,,3095173.0,121036.185,37.59
AUT,2014,0.30563884973526,51314.97226163223,8546356.0,82520.0,57.526
IRQ,2014,1.0799306631088257,6249.3922697896905,36550059.0,434128.0,69.758
ITA,2014,0.6840822696685791,36028.34940223488,60320707.0,295718.0,69.272
CHE,2014,0.5880423784255981,88724.99107356092,8188649.0,39510.829,73.696
IRN,2014,0.379406213760376,5672.063728963186,81502045.0,1628760.0,72.83
CIV,2014,0.0480188950896263,1991.3653942340416,24527395.0,318000.0,49.014
MLI,2014,0.0018322131363674,940.243260037952,18020267.0,1220190.0,39.196
SEN,2014,0.0229229591786861,1398.891376013819,14152102.0,192530.0,45.436
NGA,2014,0.1266870945692062,3088.7213131616927,185896915.0,910770.0,46.982
BEN,2014,0.0140334265306591,1204.39918670094,11030004.0,112760.0,45.166
AGO,2014,0.0229651629924774,5005.999741270698,27160769.0,1246700.0,62.731
HRV,2014,0.2723792493343353,14187.969453149335,4201598.0,55964.0,55.923
QAT,2014,8.580484390258789,95840.6310094498,2151745.0,11490.0,98.868
SAU,2014,0.371744692325592,27805.48503194224,28309273.0,2149690.0,82.96
BWA,2014,0.0088427755981683,7122.364234215034,2172044.0,566730.0,66.368
ZWE,2014,0.0146849006414413,1372.214746103728,14207359.0,386850.0,32.504
BGR,2014,0.2820710241794586,8069.600056676842,7073572.0,108560.0,73.651
TCD,2014,0.0032509735319763,1278.7898142249378,14188678.0,1259200.0,22.372
KWT,2014,5.005593776702881,44368.78137304304,3665876.0,17820.0,100.0
DZA,2014,0.1731548458337783,6094.693923149557,39205031.0,2381740.0,70.221
