country,year,land_area
SOM,2017,627340.0
SSD,2017,631930.0
SWE,2017,407310.64
SWZ,2017,17200.0
SYR,2017,183630.0
TCD,2017,1259200.0
TGO,2017,54390.0
TUN,2017,155360.0
TUR,2017,769630.0
TZA,2017,885800.0
UGA,2017,200520.0
YEM,2017,527970.0
ZAF,2017,1213090.0
ZMB,2017,743390.0
ZWE,2017,386850.0
AGO,2018,1246700.0
ALB,2018,27400.0
ARE,2018,71020.0
ARM,2018,28470.0
AUT,2018,82520.0
BDI,2018,25680.0
BEL,2018,30493.0
BEN,2018,112760.0
BFA,2018,273600.0
BGR,2018,108560.0
BHR,2018,778.0
BWA,2018,566730.0
CAF,2018,622980.0
CHE,2018,39509.63
CIV,2018,318000.0
CMR,2018,472710.0
COD,2018,2267050.0
COG,2018,341500.0
COM,2018,1861.0
CZE,2018,77210.0
DEU,2018,349380.0
DJI,2018,23180.0
DNK,2018,40000.0
DZA,2018,2381741.0
EGY,2018,995450.0
ERI,2018,121077.714
ESP,2018,499603.479
EST,2018,42750.0
ETH,2018,1128561.4
FIN,2018,303920.0
FRA,2018,538950.0
GAB,2018,257670.0
GBR,2018,241930.0
GHA,2018,227540.0
GIN,2018,245720.0
GMB,2018,10120.0
GNB,2018,28120.0
GNQ,2018,28050.0
GRC,2018,128900.0
HRV,2018,55964.0
HUN,2018,91260.0
IRL,2018,68890.0
IRN,2018,1622500.0
IRQ,2018,434128.0
ITA,2018,295718.0
JOR,2018,88780.0
KEN,2018,576964.2
KWT,2018,17820.0
LBN,2018,10230.0
LBR,2018,96320.0
LBY,2018,1759540.0
LSO,2018,30360.0
LTU,2018,62630.0
LVA,2018,62227.0
MAR,2018,446300.0
MDG,2018,581800.0
MLI,2018,1220190.0
MOZ,2018,786380.0
MRT,2018,1030700.0
MUS,2018,1997.0
MWI,2018,94280.0
NAM,2018,823290.0
NER,2018,1266700.0
NGA,2018,910770.0
NLD,2018,33670.0
NOR,2018,365108.0
OMN,2018,309500.0
POL,2018,306170.0
PRT,2018,91605.6
QAT,2018,11490.0
ROU,2018,230080.0
RWA,2018,24670.0
SAU,2018,2149690.0
SDN,2018,1868000.0
SEN,2018,192530.0
SLE,2018,72180.0
SOM,2018,627340.0
SSD,2018,631930.0
SWE,2018,407310.64
SWZ,2018,17200.0
SYR,2018,183630.0
TCD,2018,1259200.0
