country,year,urban_pop_rate
ZMB,2016,42.438
ZWE,2016,32.296
AFG,2017,25.25
AGO,2017,64.839
ALB,2017,59.383
ARE,2017,86.248
ARM,2017,63.103
AUT,2017,58.094
BDI,2017,12.706
BEL,2017,97.961
BEN,2017,46.768
BFA,2017,28.743
BGD,2017,35.858
BGR,2017,74.669
BHR,2017,89.186
BWA,2017,68.7
CAF,2017,40.98
CHE,2017,73.761
CHN,2017,57.96
CIV,2017,50.326
CMR,2017,55.777
COD,2017,43.88
COG,2017,66.459
COM,2017,28.784
CZE,2017,73.675
DEU,2017,77.261
DJI,2017,77.648
DNK,2017,87.757
DZA,2017,72.052
EGY,2017,42.705
ERI,2017,39.451
ESP,2017,80.08
EST,2017,68.717
ETH,2017,20.31
FIN,2017,85.325
FRA,2017,80.18
GAB,2017,88.976
GBR,2017,83.143
GHA,2017,55.407
GIN,2017,35.793
GMB,2017,60.599
GNB,2017,42.945
GNQ,2017,71.646
GRC,2017,78.724
HRV,2017,56.667
HUN,2017,71.062
IDN,2017,54.659
IND,2017,33.6
IRL,2017,62.947
IRN,2017,74.394
IRQ,2017,70.278
ITA,2017,70.144
JOR,2017,90.747
JPN,2017,91.535
KAZ,2017,57.336
KEN,2017,26.562
KGZ,2017,36.135
KHM,2017,22.98
KOR,2017,81.503
KWT,2017,100.0
LAO,2017,34.368
LBN,2017,88.429
LBR,2017,50.697
LBY,2017,79.817
LKA,2017,18.384
LSO,2017,27.73
LTU,2017,67.516
LVA,2017,68.075
MAR,2017,61.908
MDG,2017,36.522
MLI,2017,41.572
MMR,2017,30.322
MNG,2017,68.363
MOZ,2017,35.455
MRT,2017,52.824
MUS,2017,40.841
MWI,2017,16.714
MYS,2017,75.447
NAM,2017,49.005
NER,2017,16.35
NGA,2017,49.519
NLD,2017,91.077
NOR,2017,81.871
NPL,2017,19.336
OMN,2017,83.56
PAK,2017,36.442
PHL,2017,46.682
POL,2017,60.105
PRT,2017,64.652
QAT,2017,99.078
ROU,2017,53.936
RWA,2017,17.125
SAU,2017,83.622
SDN,2017,34.37
SEN,2017,46.74
SGP,2017,100.0
SLE,2017,41.636
SOM,2017,44.391
SSD,2017,19.346
SWE,2017,87.146
SWZ,2017,23.625
SYR,2017,53.5
TCD,2017,22.858
TGO,2017,41.162
THA,2017,49.2
TJK,2017,26.982
TKM,2017,51.153
TUN,2017,68.642
TUR,2017,74.644
TZA,2017,33.053
UGA,2017,23.196
UZB,2017,50.55
VNM,2017,35.213
YEM,2017,36.016
ZAF,2017,65.85
ZMB,2017,42.976
ZWE,2017,32.237
AFG,2018,25.495
AGO,2018,65.514
ALB,2018,60.319
ARE,2018,86.522
ARM,2018,63.149
AUT,2018,58.297
BDI,2018,13.032
BEL,2018,98.001
BEN,2018,47.312
BFA,2018,29.358
BGD,2018,36.632
BGR,2018,75.008
BHR,2018,89.287
BWA,2018,69.446
CAF,2018,41.364
CHE,2018,73.797
CHN,2018,59.152
CIV,2018,50.779
CMR,2018,56.374
COD,2018,44.46
COG,2018,66.916
COM,2018,28.965
CZE,2018,73.792
DEU,2018,77.312
DJI,2018,77.777
DNK,2018,87.874
DZA,2018,72.629
EGY,2018,42.704
ERI,2018,40.08
ESP,2018,80.321
EST,2018,68.88
ETH,2018,20.763
FIN,2018,85.382
FRA,2018,80.444
GAB,2018,89.37
GBR,2018,83.398
GHA,2018,56.06
GIN,2018,36.14
GMB,2018,61.27
GNB,2018,43.36
GNQ,2018,72.143
GRC,2018,79.058
HRV,2018,56.947
HUN,2018,71.351
IDN,2018,55.325
IND,2018,34.03
IRL,2018,63.17
IRN,2018,74.898
IRQ,2018,70.473
ITA,2018,70.438
JOR,2018,90.979
JPN,2018,91.616
KAZ,2018,57.428
KEN,2018,27.03
KGZ,2018,36.351
KHM,2018,23.388
KOR,2018,81.459
KWT,2018,100.0
LAO,2018,35.004
LBN,2018,88.593
LBR,2018,51.151
LBY,2018,80.102
LKA,2018,18.476
LSO,2018,28.153
LTU,2018,67.679
LVA,2018,68.142
MAR,2018,62.453
MDG,2018,37.191
MLI,2018,42.356
MMR,2018,30.579
MNG,2018,68.445
MOZ,2018,35.988
MRT,2018,53.672
MUS,2018,40.793
MWI,2018,16.937
MYS,2018,76.036
NAM,2018,50.032
NER,2018,16.425
NGA,2018,50.344
NLD,2018,91.49
NOR,2018,82.248
NPL,2018,19.74
OMN,2018,84.539
PAK,2018,36.666
PHL,2018,46.907
POL,2018,60.058
PRT,2018,65.211
QAT,2018,99.135
ROU,2018,53.998
RWA,2018,17.211
SAU,2018,83.844
SDN,2018,34.642
SEN,2018,47.192
SGP,2018,100.0
SLE,2018,42.055
SOM,2018,44.971
SSD,2018,19.615
SWE,2018,87.431
SWZ,2018,23.799
SYR,2018,54.162
TCD,2018,23.059
TGO,2018,41.702
THA,2018,49.949
TJK,2018,27.134
TKM,2018,51.593
TUN,2018,68.945
TUR,2018,75.143
TZA,2018,33.776
UGA,2018,23.774
UZB,2018,50.478
VNM,2018,35.919
YEM,2018,36.642
ZAF,2018,66.355
ZMB,2018,43.521
ZWE,2018,32.209
AFG,2019,25.754
AGO,2019,66.177
ALB,2019,61.229
ARE,2019,86.789
ARM,2019,63.219
AUT,2019,58.515
BDI,2019,13.366
BEL,2019,98.041
BEN,2019,47.861
BFA,2019,29.98
BGD,2019,37.405
BGR,2019,75.347
BHR,2019,89.394
BWA,2019,70.172
CAF,2019,41.77
CHE,2019,73.849
CHN,2019,60.308
CIV,2019,51.239
CMR,2019,56.968
COD,2019,45.046
COG,2019,67.373
COM,2019,29.164
CZE,2019,73.921
DEU,2019,77.376
DJI,2019,77.915
DNK,2019,87.994
DZA,2019,73.189
EGY,2019,42.73
ERI,2019,40.712
ESP,2019,80.565
EST,2019,69.051
ETH,2019,21.225
FIN,2019,85.446
FRA,2019,80.709
GAB,2019,89.741
GBR,2019,83.652
GHA,2019,56.707
GIN,2019,36.5
GMB,2019,61.931
GNB,2019,43.777
GNQ,2019,72.627
GRC,2019,79.388
HRV,2019,57.242
HUN,2019,71.644
IDN,2019,55.985
IND,2019,34.472
IRL,2019,63.405
IRN,2019,75.391
IRQ,2019,70.678
ITA,2019,70.736
JOR,2019,91.203
JPN,2019,91.698
KAZ,2019,57.54
KEN,2019,27.507
KGZ,2019,36.591
KHM,2019,23.805
KOR,2019,81.43
KWT,2019,100.0
LAO,2019,35.645
LBN,2019,88.758
LBR,2019,51.615
LBY,2019,80.393
LKA,2019,18.585
LSO,2019,28.585
LTU,2019,67.855
LVA,2019,68.222
MAR,2019,62.994
MDG,2019,37.861
MLI,2019,43.136
MMR,2019,30.852
MNG,2019,68.543
MOZ,2019,36.528
MRT,2019,54.507
MUS,2019,40.766
MWI,2019,17.174
MYS,2019,76.607
NAM,2019,51.042
NER,2019,16.517
NGA,2019,51.157
NLD,2019,91.876
NOR,2019,82.616
NPL,2019,20.153
OMN,2019,85.443
PAK,2019,36.907
PHL,2019,47.149
POL,2019,60.037
PRT,2019,65.764
QAT,2019,99.188
ROU,2019,54.084
RWA,2019,17.313
SAU,2019,84.065
SDN,2019,34.936
SEN,2019,47.653
SGP,2019,100.0
SLE,2019,42.484
SOM,2019,45.554
SSD,2019,19.899
SWE,2019,87.708
SWZ,2019,23.981
SYR,2019,54.821
TCD,2019,23.279
TGO,2019,42.248
THA,2019,50.692
TJK,2019,27.309
TKM,2019,52.048
TUN,2019,69.254
TUR,2019,75.63
TZA,2019,34.5
UGA,2019,24.361
UZB,2019,50.433
VNM,2019,36.628
YEM,2019,37.273
ZAF,2019,66.856
ZMB,2019,44.072
ZWE,2019,32.21
AFG,2020,26.026
AGO,2020,66.825
ALB,2020,62.112
ARE,2020,87.048
ARM,2020,63.313
AUT,2020,58.748
BDI,2020,13.708
BEL,2020,98.079
BEN,2020,48.415
BFA,2020,30.607
BGD,2020,38.177
BGR,2020,75.686
BHR,2020,89.506
BWA,2020,70.877
CAF,2020,42.198
CHE,2020,73.915
CHN,2020,61.428
CIV,2020,51.706
CMR,2020,57.56
COD,2020,45.638
COG,2020,67.829
COM,2020,29.38
CZE,2020,74.061
DEU,2020,77.453
DJI,2020,78.062
DNK,2020,88.116
DZA,2020,73.733
EGY,2020,42.783
ERI,2020,41.347
ESP,2020,80.81
EST,2020,69.229
ETH,2020,21.695
FIN,2020,85.517
FRA,2020,80.975
GAB,2020,90.092
GBR,2020,83.903
GHA,2020,57.349
GIN,2020,36.875
GMB,2020,62.582
GNB,2020,44.196
GNQ,2020,73.1
GRC,2020,79.715
HRV,2020,57.553
HUN,2020,71.942
IDN,2020,56.641
IND,2020,34.926
IRL,2020,63.653
IRN,2020,75.874
IRQ,2020,70.893
ITA,2020,71.039
JOR,2020,91.418
JPN,2020,91.782
KAZ,2020,57.671
KEN,2020,27.995
KGZ,2020,36.856
KHM,2020,24.232
KOR,2020,81.414
KWT,2020,100.0
LAO,2020,36.29
LBN,2020,88.925
LBR,2020,52.089
LBY,2020,80.691
LKA,2020,18.713
LSO,2020,29.028
LTU,2020,68.046
LVA,2020,68.315
MAR,2020,63.532
MDG,2020,38.534
MLI,2020,43.909
MMR,2020,31.141
MNG,2020,68.657
MOZ,2020,37.074
MRT,2020,55.327
MUS,2020,40.76
MWI,2020,17.427
MYS,2020,77.16
NAM,2020,52.033
NER,2020,16.626
NGA,2020,51.958
NLD,2020,92.236
NOR,2020,82.974
NPL,2020,20.576
OMN,2020,86.276
PAK,2020,37.165
PHL,2020,47.408
POL,2020,60.043
PRT,2020,66.31
QAT,2020,99.235
ROU,2020,54.194
RWA,2020,17.432
SAU,2020,84.287
SDN,2020,35.253
SEN,2020,48.122
SGP,2020,100.0
SLE,2020,42.923
SOM,2020,46.141
SSD,2020,20.199
SWE,2020,87.977
SWZ,2020,24.171
SYR,2020,55.475
TCD,2020,23.52
TGO,2020,42.8
THA,2020,51.43
TJK,2020,27.506
TKM,2020,52.516
TUN,2020,69.568
TUR,2020,76.105
TZA,2020,35.227
UGA,2020,24.954
UZB,2020,50.416
VNM,2020,37.34
YEM,2020,37.908
ZAF,2020,67.354
ZMB,2020,44.629
ZWE,2020,32.242
AFG,2021,26.314
AGO,2021,67.46
ALB,2021,62.969
ARE,2021,87.299
ARM,2021,63.431
AUT,2021,58.995
BDI,2021,14.058
BEL,2021,98.117
BEN,2021,48.972
BFA,2021,31.24
BGD,2021,38.946
BGR,2021,76.025
BHR,2021,89.622
BWA,2021,71.56
CAF,2021,42.648
CHE,2021,73.996
